Test Image,Shared Image,Test Image Name,Shared Image Name,Similarity,,,,,,,,,,,,,,,
3.jpg,0.jpg,Shoe,Pants,0.420959456,,,,,,,,,,,,,,,
3.jpg,0.jpg,Shoe,Top,0.23626079,,,,,,,,,,,,,,,
3.jpg,0.jpg,Shoe,Shoe,0.587946338,,,,,,,,,,,,,,,
3.jpg,0.jpg,Shoe,Shoe,0.724927931,,,,,,,,,,,,,,,
3.jpg,1.png,Shoe,Pants,0.516953576,,,,,,,,,,,,,,,
3.jpg,1.png,Shoe,Top,0.199018652,,,,,,,,,,,,,,,
3.jpg,1.png,Shoe,Hat,0.314369657,,,,,,,,,,,,,,,
3.jpg,1.png,Shoe,Shoe,0.53098533,,,,,,,,,,,,,,,
3.jpg,2.jpg,Shoe,Pants,0.264507888,,,,,,,,,,,,,,,
3.jpg,2.jpg,Shoe,Top,0.258097524,,,,,,,,,,,,,,,
3.jpg,2.jpg,Shoe,Shoe,0.584782779,,,,,,,,,,,,,,,
3.jpg,2.jpg,Shoe,Shoe,0.585792746,,,,,,,,,,,,,,,
4.jpg,0.jpg,Pants,Pants,0.710851328,,,,,,,,,,,,,,,
4.jpg,0.jpg,Pants,Top,0.306142197,,,,,,,,,,,,,,,
4.jpg,0.jpg,Pants,Shoe,0.576872377,,,,,,,,,,,,,,,
4.jpg,0.jpg,Pants,Shoe,0.528591605,,,,,,,,,,,,,,,
4.jpg,1.png,Pants,Pants,0.751760963,,,,,,,,,,,,,,,
4.jpg,1.png,Pants,Top,0.324024604,,,,,,,,,,,,,,,
4.jpg,1.png,Pants,Hat,0.446894546,,,,,,,,,,,,,,,
4.jpg,1.png,Pants,Shoe,0.488613515,,,,,,,,,,,,,,,
4.jpg,2.jpg,Pants,Pants,0.653554662,,,,,,,,,,,,,,,
4.jpg,2.jpg,Pants,Top,0.39683439,,,,,,,,,,,,,,,
4.jpg,2.jpg,Pants,Shoe,0.449717918,,,,,,,,,,,,,,,
4.jpg,2.jpg,Pants,Shoe,0.449834481,,,,,,,,,,,,,,,
4.jpg,0.jpg,Top,Pants,0.340465966,,,,,,,,,,,,,,,
4.jpg,0.jpg,Top,Top,0.765845865,,,,,,,,,,,,,,,
